,0
129,0.004406349022952486
130,0.0042012669002006505
131,0.000736712412352497
132,0.006904795164367768
133,0.006155064288560407
134,-0.00862334342278589
135,0.0031541213679686687
136,0.0043350705164711106
137,0.006684890741450017
138,0.001061779723575753
139,0.004092556648811917
140,-0.00536320539354735
141,0.004405048579051626
142,0.003070311886441592
143,0.007644933522215918
144,-0.003587602429913158
145,0.0008218766983528822
146,0.006910448965126588
147,0.00862279035820004
148,0.003632645551735801
149,-0.0068751827721620275
150,0.003919125916963797
151,-0.007650839546256697
152,-0.01043107480264891
153,-0.004826912800883362
154,0.003561030113290218
155,0.0053064336117746224
156,0.0038608070633586638
157,0.006367235541805722
158,0.006906741803374372
159,0.003549699381069421
160,0.0041382874387675735
161,0.008191481792084312
162,0.0077720311362269425
163,-0.011161033714248769
164,0.002211669264218916
165,0.0036243735476590875
166,0.002083570307781402
167,0.002949987220512591
168,0.0022989825841386287
169,0.002393049601935
170,0.004791391519451341
171,0.004186851184283948
172,0.0026936663395651884
173,0.006985469791359759
174,0.004075993344613018
175,0.005868425426146489
176,-0.003368377360942852
177,0.0049824745107305
178,0.005822428298645273
179,0.012285422680293843
180,-0.00011391977064073443
181,0.0007728542446559502
182,0.005728885367829818
183,0.006183878754711539
184,-0.005820370282536935
185,0.004359514906938972
186,0.00443089603514508
187,-0.007629328079491268
188,0.0034048337217897746
189,-0.007581783704244095
190,0.00553925146543151
191,0.006589629972399156
192,0.005544857947586251
193,0.002062526222665793
194,0.0030827139581273036
195,0.007964953985122916
196,0.003413356747899045
197,0.0065379419494537155
198,0.0023472391251325095
199,0.003134524741106183
200,0.004561615674237585
201,0.00447068231253376
202,0.005956991837383213
203,0.0007498758658901348
204,-0.006923059974207646
205,0.006543210000971038
206,0.003313801493517691
207,0.0010961706141306914
208,0.005231574363152831
209,-0.0006486522257807625
210,0.0008622803759399881
211,0.0025610833340988467
212,0.0020691353318097174
213,0.008358032811969337
214,0.005555698940097023
215,0.0020045978331872344
216,0.004665003822704352
217,0.007174406928703138
218,0.0007702078083226555
219,-0.007145687119771317
220,0.006301723466760762
221,0.007190983596143392
222,0.0053438275841672786
223,0.0057582608423015465
224,0.004636233314027139
225,-0.0034570408206202065
226,-0.0066794039237377655
227,0.006820631275552755
228,0.003926089151618686
229,-0.006459155563149126
230,0.00269342476206945
231,0.0005460231449814133
232,0.005006009280571268
233,-0.007890362525835515
234,0.007693891013676199
235,0.001479539714259145
236,0.0034906390945587487
237,0.0031164869493138887
238,0.004460256539792774
239,0.006320327852239753
240,0.0017227802313474858
241,0.002913792366215238
242,0.004902749586712627
243,0.003774832077753777
244,0.004085175605070204
245,0.0037880705181726946
246,0.002723135508659984
247,0.004703878973719657
248,0.010303945278249928
249,0.0043838803298192255
250,-0.00730675885142323
251,0.006626684533477092
252,0.0024299892313976424
253,0.0039290675967829074
254,0.0035327290313439106
255,0.0058290038778020465
256,0.004273885964105889
257,0.007597898008388939
258,0.003541190534646315
259,0.007549385516573562
260,0.007629101164293826
261,-0.008087520146180032
262,-0.0005413334433225992
263,0.0034981688303815763
264,0.0038734516169645337
265,0.003981913675497191
266,0.0054110307273042115
267,0.006328870443720702
268,0.0022279603419401157
269,0.001885466415615638
270,0.0006905297370976008
271,0.010169698338032385
272,0.0033695245721949247
273,0.002250466475816548
274,0.007144428559214181
275,0.0043318557879264315
276,0.004578752859280983
277,0.005023802746963674
278,0.010142480000445559
279,0.0036853687785397375
280,0.004161263936288868
281,0.00449446387625701
282,0.0029472526901413608
283,0.003905590522854563
284,0.0018811342107528041
285,0.0033740604656913725
286,0.003406264076307277
287,0.004702307741058189
288,0.003905180049540731
289,0.005211239545038947
290,-0.0004731806987048191
291,0.005907051639497804
292,0.007460141724520105
293,0.006292191048770837
294,0.006020988678605352
295,0.003567380047602144
296,0.002444492461832351
297,-0.0004448152286946975
298,0.0004012866377803443
299,0.008985506186897429
